🚀 Starting server on port 8028
Listening on http://0.0.0.0:8028/ (http://localhost:8028/)
97
parse block 292701831,cost:85 ms
Invalid tokenAmount: 0, skipping transaction 55fqxnrUDCnRMn1aHtpUqFvi2pbVqkr2RcEUA9HnL42AQUzfG64NVwFxcLUZU3DfitmWFY22pT6LJBQUKtVNvS8N
Invalid quoteAmount: 0, skipping transaction 4v5dYzdKRymBoNxsnPcGBBe3EVkxazGkBxnvZbiT1ovNkhiKuQkWeKccbHoumQUbToNqCXhBYiBWcCF4uXqw12uv
quoteSymbol not support F2SsQ8NXdohV3Ks8M5FpVVocXTpQLLdHE9acTzZcpump, skipping transaction 2j3GWabAwJvBtnj3BzkTnRKeQMWT56Y31huJNFqFWMtfc5SVc7QS53Be5ApTeM25AjcMQE6xu46qtYmmaUGyb5v2
Invalid tokenAmount: 0, skipping transaction ndHDBNfARbSQV63UkW5ELUEuaSyRbxEmZP17SbeHfdhRfZ6CAMetBNb6vgGicq2ZDQjY4qCTkFm6cAzBvwG7QJK
quoteSymbol not support 5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm, skipping transaction 44ZajfMK57pUTiUPnPSV9TWW2SieFPQNjh61Tw3jk1S2stMribywRxqdT4SZNpdjizMHApZKYx6qgcrXC2iMDDJ4
quoteSymbol not support CAj9eUiAFFZbFQtFSQ1SB2FXUKjq819coeoKN4gkpump, skipping transaction 5ovQC1iWCpR6aZqK51SvEfPWBf4PXKurjnyCuapp11RL7kQysEyxohhDtErWDhsnbp16arMEbwWUTiMVMBnZHZwf
quoteSymbol not support HmP7gAWucokzHHCszEreBx2H8oxcrhpH39sNyDKFpump, skipping transaction 64EbbPhgkLF9nwRh7JZ4W3RovpLTD53eDKoehs26kKThC4befeEhSSTiSifBbfrsr8QoL9RTP2qJiXHPxHgHULKx
✅ 插入 9285 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 97 blocks, cost: 4645 ms
[Port 8028] server total use, cost: 4645 ms
92
parse block 292699432,cost:59 ms
parse block 292699431,cost:36 ms
parse block 292699430,cost:44 ms
parse block 292699429,cost:35 ms
parse block 292699428,cost:39 ms
parse block 292699427,cost:26 ms
parse block 292699426,cost:29 ms
parse block 292699425,cost:47 ms
parse block 292699424,cost:69 ms
parse block 292699423,cost:14 ms
parse block 292699422,cost:32 ms
parse block 292699421,cost:52 ms
parse block 292699420,cost:30 ms
parse block 292699419,cost:59 ms
parse block 292699418,cost:41 ms
parse block 292699417,cost:43 ms
parse block 292699416,cost:33 ms
parse block 292699415,cost:16 ms
parse block 292699414,cost:63 ms
parse block 292699413,cost:56 ms
parse block 292699412,cost:24 ms
parse block 292699411,cost:52 ms
parse block 292699410,cost:26 ms
parse block 292699409,cost:46 ms
parse block 292699408,cost:27 ms
parse block 292699407,cost:61 ms
parse block 292699406,cost:50 ms
parse block 292699405,cost:56 ms
parse block 292699404,cost:55 ms
parse block 292699403,cost:31 ms
parse block 292699402,cost:31 ms
parse block 292699401,cost:78 ms
parse block 292699400,cost:104 ms
parse block 292699395,cost:27 ms
parse block 292699394,cost:45 ms
parse block 292699393,cost:50 ms
parse block 292699392,cost:28 ms
parse block 292699391,cost:36 ms
parse block 292699390,cost:70 ms
parse block 292699389,cost:19 ms
parse block 292699388,cost:65 ms
parse block 292699387,cost:35 ms
parse block 292699386,cost:49 ms
parse block 292699385,cost:35 ms
parse block 292699384,cost:30 ms
parse block 292699383,cost:61 ms
parse block 292699382,cost:55 ms
parse block 292699381,cost:46 ms
parse block 292699380,cost:60 ms
parse block 292699379,cost:60 ms
parse block 292699378,cost:60 ms
parse block 292699377,cost:65 ms
parse block 292699376,cost:40 ms
parse block 292699375,cost:26 ms
parse block 292699374,cost:33 ms
parse block 292699373,cost:61 ms
parse block 292699372,cost:21 ms
parse block 292699371,cost:34 ms
parse block 292699370,cost:38 ms
parse block 292699369,cost:38 ms
parse block 292699368,cost:41 ms
parse block 292699367,cost:32 ms
parse block 292699366,cost:35 ms
parse block 292699365,cost:60 ms
parse block 292699364,cost:47 ms
parse block 292699363,cost:45 ms
parse block 292699362,cost:23 ms
parse block 292699361,cost:27 ms
parse block 292699360,cost:35 ms
parse block 292699359,cost:35 ms
parse block 292699358,cost:53 ms
parse block 292699357,cost:28 ms
parse block 292699356,cost:63 ms
parse block 292699355,cost:22 ms
parse block 292699354,cost:55 ms
parse block 292699353,cost:33 ms
parse block 292699352,cost:96 ms
parse block 292699347,cost:56 ms
parse block 292699346,cost:101 ms
parse block 292699345,cost:23 ms
parse block 292699344,cost:106 ms
parse block 292699343,cost:31 ms
parse block 292699342,cost:21 ms
parse block 292699341,cost:48 ms
parse block 292699340,cost:37 ms
parse block 292699339,cost:19 ms
Invalid tokenAmount: 0, skipping transaction 28ES4jDWbC2hVLSqPoKBWdSg364CEqRm4ypBai1ndr1SPbYhsV4rEGDukxyenLbfuCVvHyxs4Y9e65hmGLVtYwHD
parse block 292699338,cost:43 ms
parse block 292699337,cost:23 ms
parse block 292699336,cost:64 ms
quoteSymbol not support J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr, skipping transaction 3T2ihj8gyRPFLeqUYujq6gt4zgk75FLpNrbbyvxin68obAJxufiVCDZ7Wic6yqF9jCQKteu3XivbnnpHEDY92cVy
parse block 292699335,cost:19 ms
parse block 292699334,cost:43 ms
parse block 292699333,cost:13 ms
Invalid tokenAmount: 0, skipping transaction 5faDtbLAtG6PK63hY3a46VnX423hcMnFVGGnKVRGNjEnLiLkhgqETCwwGQp6dBxob4kxsLw1TYR5EovJ1NfikA39
quoteSymbol not support AZAHydSmZpYBapt2CSDagTEh3SFpfg99Yfr65tuPpump, skipping transaction 5ZQwkxJMNJsWeA1XYu3V9XZNGCcWYfVAxTUJkE1Nt2EZmQ8YpQ359S2jZePjF4CAkgWdPsqiLBSQThkxu6UEKqj8
Invalid quoteAddress: undefined, skipping transaction 3NyybVB2YWwJT4vZAAR4sa5HMhmVWszCrVLrdoUYhGRNdE5ph7Vm7MZ5cCLEDD8sanqG7cgPfzqEYwCybDx1ECEa
quoteSymbol not support ApywYgTy4ba3sFRtTQi2a7oxdwDNNmCkxujT23RKxMfC, skipping transaction 2n3m3JhxQKGJcwJVLVNeKK3B8PaCivqeNGbTcg6nzmkxHiF6WbpqAwDdxrmmpzzc7oWH8CN42YDqRR5YuM2zjHPK
Invalid quoteAmount: 0, skipping transaction 2DuyW2bspkWLx4E8tDtwPx4D1jrn5AsrX1wCiVAN6Tm28xaiuSmjcVKRsuT8DRbpGQWBrMQYkBbKbw1cTfSzyNf
quoteSymbol not support DUp2qMMGuACziKeyZRtH9cuKyqtYpqJ24iZg6tVLpump, skipping transaction xnU8kmfk1R19B1KLsPxriiiyc9Z8tve5FJF2f78EiQDU5WVLR9jJNJYPbkK4WWk583nFFyv8HyNRfWRPqtiPWTv
quoteSymbol not support 9fHPocEhYDJLCfXx6pa1Q4cjqeZ9FmoVNgHNSj7npump, skipping transaction 3F3Gmv8W68ZNLdhr3LnooXkw9dChsF4YjAN4Vy3JuBf9Y6m6wkXsEhZqjrd2zuHM265FmFHrWpJZ7E9ovU3tEL8D
Invalid tokenAmount: 0, skipping transaction qcLfLWGWR6NSdMBR8zc4Eca72a62g5nwVE3VUB91UzLLNadpFU51FMwCoitSAZCvVg6YBj8D9jsArcGRauwV748
Invalid tokenAmount: 0, skipping transaction gPERpXNopLGRNd5Gj5KCWox5xwiaKUWEnGgGeX1hTiuNneqRnMesQ2L2gLHqiBhmWTVjMKW7cj8V5tRtCHDJncR
Invalid tokenAmount: 0, skipping transaction 3Fy52h2zEutTXqdrNxw38TykR4nLfR64FyGmzKNwmyUWxWEZjuL6q93SDXJ6G6SJHJaZkYjJVpadGgeoNeaCaPax
✅ 插入 6968 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 92 blocks, cost: 4447 ms
[Port 8028] server total use, cost: 4447 ms
96
parse block 292696532,cost:46 ms
parse block 292696531,cost:79 ms
parse block 292696530,cost:50 ms
parse block 292696529,cost:65 ms
parse block 292696528,cost:81 ms
parse block 292696527,cost:63 ms
parse block 292696526,cost:32 ms
parse block 292696525,cost:21 ms
parse block 292696524,cost:60 ms
parse block 292696523,cost:48 ms
parse block 292696522,cost:53 ms
parse block 292696521,cost:35 ms
parse block 292696520,cost:57 ms
parse block 292696519,cost:55 ms
parse block 292696518,cost:43 ms
parse block 292696517,cost:30 ms
parse block 292696516,cost:82 ms
parse block 292696515,cost:34 ms
parse block 292696514,cost:27 ms
parse block 292696513,cost:21 ms
parse block 292696512,cost:31 ms
parse block 292696511,cost:52 ms
parse block 292696510,cost:65 ms
parse block 292696509,cost:47 ms
parse block 292696508,cost:90 ms
parse block 292696507,cost:61 ms
parse block 292696506,cost:26 ms
parse block 292696505,cost:19 ms
parse block 292696504,cost:77 ms
parse block 292696503,cost:26 ms
parse block 292696502,cost:35 ms
parse block 292696501,cost:24 ms
parse block 292696500,cost:59 ms
parse block 292696499,cost:75 ms
parse block 292696498,cost:42 ms
parse block 292696497,cost:69 ms
parse block 292696496,cost:36 ms
parse block 292696495,cost:25 ms
parse block 292696494,cost:34 ms
parse block 292696493,cost:49 ms
parse block 292696492,cost:32 ms
parse block 292696491,cost:16 ms
parse block 292696490,cost:57 ms
parse block 292696489,cost:58 ms
parse block 292696488,cost:43 ms
parse block 292696487,cost:57 ms
parse block 292696486,cost:97 ms
parse block 292696485,cost:29 ms
parse block 292696484,cost:7 ms
parse block 292696483,cost:57 ms
parse block 292696482,cost:36 ms
parse block 292696481,cost:38 ms
parse block 292696480,cost:57 ms
parse block 292696479,cost:76 ms
parse block 292696478,cost:92 ms
parse block 292696477,cost:49 ms
parse block 292696476,cost:16 ms
parse block 292696475,cost:46 ms
parse block 292696474,cost:25 ms
parse block 292696473,cost:22 ms
parse block 292696472,cost:28 ms
parse block 292696471,cost:35 ms
parse block 292696470,cost:52 ms
parse block 292696469,cost:20 ms
parse block 292696468,cost:50 ms
parse block 292696467,cost:25 ms
parse block 292696466,cost:33 ms
parse block 292696465,cost:63 ms
parse block 292696464,cost:33 ms
parse block 292696463,cost:28 ms
parse block 292696462,cost:52 ms
parse block 292696461,cost:22 ms
parse block 292696460,cost:37 ms
parse block 292696459,cost:102 ms
parse block 292696458,cost:86 ms
parse block 292696457,cost:112 ms
parse block 292696456,cost:108 ms
parse block 292696451,cost:37 ms
parse block 292696450,cost:56 ms
parse block 292696449,cost:25 ms
parse block 292696448,cost:46 ms
parse block 292696447,cost:59 ms
parse block 292696446,cost:65 ms
parse block 292696445,cost:41 ms
parse block 292696444,cost:58 ms
parse block 292696443,cost:25 ms
parse block 292696442,cost:45 ms
parse block 292696441,cost:50 ms
parse block 292696440,cost:31 ms
parse block 292696439,cost:64 ms
parse block 292696438,cost:58 ms
parse block 292696437,cost:28 ms
parse block 292696436,cost:83 ms
parse block 292696435,cost:31 ms
parse block 292696434,cost:13 ms
parse block 292696433,cost:12 ms
quoteSymbol not support jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL, skipping transaction 32ibGUrtzV5ytx3ADDZvhUQTNDtVDC656J9CmemAT6hSVRRgSwPs4L3YuN9KeGB6k8949Q9EE5bggomSC9USb2f9
quoteSymbol not support jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL, skipping transaction 2G1FiTRetRBG7m5aKVDSb2Ma5p2KKnBnCKa8SKDombbReuotdhzWdMQSDnym8j1ZB48YWNqfkUmcXJeWVQdVSG9y
Invalid quoteAmount: 0, skipping transaction 2o8KZHm8Rdp7QAFBKGbp1XZyChp2dB1MiraoDc6XJYLZzLbNqgzGRvaU4BF8UCGMUwTpFK8Kq4HZUw6WYoHgNSDD
quoteSymbol not support 2ViLHyok8gMXwDvaSd8UsbnnRVj58pACKFNTbfeFpump, skipping transaction 3BzHL2jLqQbyYBgCg8EaByhwjJxYxo2ozo1ppPLmxnAqCVMoMFaCg8k5zmP4ThnZvm5XZVBgR3GEeNYVP2s7E8vf
Invalid quoteAmount: 0, skipping transaction 3hT8mMvFchakjMADxJ5S3WE1oz9W1eVZPjXrxZhyxKVeF4JzsiDzJKkjx2g3anLUgRn2jo4JZgkoyXziQ8XBGwBs
quoteSymbol not support zVTMqmViptbSiVf1Hert3qrXK1FjcZujzxhgPbbpump, skipping transaction 5gQj9RmpExYABHd9DCoj9Hgo5pb88TmmsVXZhiupVvWddnvDRabBaRFV7NXSqnxstXc6Xj8RMSCmNfrc1dPjxyKU
quoteSymbol not support J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr, skipping transaction 4KLYMnuFamaJHjtExo8y1FoRaxMxhkHB2cCqjfFiKDsQrY2TwP8mi1F8kkXmwGkqmLfQLnkdGYtm5U8nFh7xEk4K
quoteSymbol not support J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr, skipping transaction 67EgA247uvcfPbLHbRGdiuYMs16ipA35WnQF6XbmcxSbLRyLSrtS12SAqesGFZAPBb5g87w9w1WE5fXpYCHSkHdS
quoteSymbol not support 85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ, skipping transaction 4xdq8seRwqyZPK2v6efT8Rmsm57vCn52tNePvGzMhrDqnzix3opdajgqH67zwig7AG44RNozP3gyJygnJ49vNTLs
quoteSymbol not support FNLK4bSwHNrVCeCXCKjY5y6ZCbYM25saKLD6cHhBpump, skipping transaction 3J3utEtiyYGXP3f2L7ujXqSZy7qyDAAXa5TWrqtaiSmgf2p2SU1kehoWpRY7mFLZvNw45P4ESoKoZxfDra9ghkek
quoteSymbol not support 85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ, skipping transaction 2Lb4YddA1fn56fiCRPxfjnJaLN6QUG5CQvxnRQLJwh7ismNsxJyguEJimmMfoxkMpo63YqKnZKwtq8NWSfNvB5if
quoteSymbol not support 85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ, skipping transaction CUkyRyNnKaSJebBZqTvbWC5Ri6nEL7GXj2WnXxnEHashj9iM5ZvWESpWn5SFFu7Jks8mEJhQHKxciRn32jfLdEh
quoteSymbol not support 9rTr8mfDvksV7V3nVpKNrtsDhVSZ8GfS75LGGPExyCey, skipping transaction 2t62mk3n9QvN3vDbyGJ6NspA4mJsFUPvzPuRMBQbCEPENZ8evsyTaKT5YFMLGSJr3nDguosPK3P4ZtU7wXBr6FR6
quoteSymbol not support AZsHEMXd36Bj1EMNXhowJajpUXzrKcK57wW4ZGXVa7yR, skipping transaction 4LNqta5eG8JrTV8B4GProc9ExwENQcwkbcey9ZDByQFzUSQNLJ22z5rdfSCZ8cbwEzZMJYBEadGvtNyABtR6hrpq
Invalid quoteAmount: 0, skipping transaction 3FRrDAdTWUo6QsGVr2MQNKSNm2a5ncptyZhvTjLF476PEZmwgfUrXCyHnGXPom7APPSs9R5GoQ8iUY5vzBEHPVj4
Invalid tokenAmount: 0, skipping transaction 64YbzhKwULc9HYoB9SjMUHHe3cBaAgtedU5RUDufgSwTpLC6YhS5EYMAWAWqiHLGs24UhWyUVcpSc4MBmbSfoiog
quoteSymbol not support H2s5dPtCyNuuhsTtYJaskaJ8CtKfPnaRta6oDc98JZQR, skipping transaction 5oryp8FcbqWr42a8vKvMbH2k6K9taHzRVHEVRpgDo8Esy6ZA9EtBg25koRuiWoPv1AtmBxRq1t5EnpJowBSE3t82
quoteSymbol not support 85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ, skipping transaction 5vhR7jXvWGcYgt3TncPw2sgPF4jGi6kFkF1EZ8HdX49HYfCGeEauzzQBaGi6ob5Db2GtVsQrVNmvwyRqY3KYsxhw
quoteSymbol not support jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL, skipping transaction 4iS138V3wzFuNz5G1TBN7fnhJD7RfV5eDDCLsTRGqKFEGMZEf9XAQqX9TxQFBpeoHtngoLAgixghpenPJpNTk5tm
quoteSymbol not support zVTMqmViptbSiVf1Hert3qrXK1FjcZujzxhgPbbpump, skipping transaction J1hYxZYX3kpmNLriZDqVFJD3qi39fsT588kfNFBcXLSxxdGQ1MBpYW5jhpnxe6Cfm6AKEv6VUzyhYkAebRGbXxS
Invalid tokenAmount: 0, skipping transaction 5n7A12g5zUdYuyFmCAxjPj5Pc1hrtHeXUuo335L1zZaAhHN3AcjZcrM9DhiNNoVyuRZxkTWTym1xLYEmvaoBGPLj
Invalid quoteAddress: undefined, skipping transaction 51WgsbaQpV1t9hwMnxJzfmeHyLuTxNtgdJQtSRBd3QHewkkJuxxRMwkx12nbhzyMd5PZGcMqt3z6sXW4XrnghyPZ
quoteSymbol not support 85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ, skipping transaction 2cutopDK5M11LBq5i4rCk14fKHq6nYT19XbJ6UU1mwcq2bXQAwT96ja8TvEDUknTsGFKLr5UirHiBknBNpEay7qd
Invalid tokenAmount: 0, skipping transaction 2VaZFKAunN6dKm4bCG96kenEannSHfdLAftp6wV7KvMveKksBc5wyF7nhKHadQUSN8U2rYMtynfM7nhCAn141Ssy
✅ 插入 10458 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 96 blocks, cost: 5033 ms
[Port 8028] server total use, cost: 5034 ms
96
parse block 292692632,cost:55 ms
parse block 292692631,cost:48 ms
parse block 292692630,cost:24 ms
parse block 292692629,cost:45 ms
parse block 292692628,cost:36 ms
parse block 292692627,cost:37 ms
parse block 292692626,cost:29 ms
parse block 292692625,cost:40 ms
parse block 292692624,cost:96 ms
parse block 292692619,cost:19 ms
parse block 292692618,cost:56 ms
parse block 292692617,cost:23 ms
parse block 292692616,cost:78 ms
parse block 292692615,cost:22 ms
parse block 292692614,cost:51 ms
parse block 292692613,cost:29 ms
parse block 292692612,cost:24 ms
parse block 292692611,cost:44 ms
parse block 292692610,cost:44 ms
parse block 292692609,cost:44 ms
parse block 292692608,cost:22 ms
parse block 292692607,cost:24 ms
parse block 292692606,cost:37 ms
parse block 292692605,cost:42 ms
parse block 292692604,cost:32 ms
parse block 292692603,cost:40 ms
parse block 292692602,cost:34 ms
parse block 292692601,cost:34 ms
parse block 292692600,cost:41 ms
parse block 292692599,cost:36 ms
parse block 292692598,cost:63 ms
parse block 292692597,cost:38 ms
parse block 292692596,cost:36 ms
parse block 292692595,cost:17 ms
parse block 292692594,cost:38 ms
parse block 292692593,cost:6 ms
parse block 292692592,cost:36 ms
parse block 292692591,cost:44 ms
parse block 292692590,cost:46 ms
parse block 292692589,cost:33 ms
parse block 292692588,cost:123 ms
parse block 292692587,cost:8 ms
parse block 292692586,cost:11 ms
parse block 292692585,cost:20 ms
parse block 292692584,cost:30 ms
parse block 292692583,cost:30 ms
parse block 292692582,cost:29 ms
parse block 292692581,cost:14 ms
parse block 292692580,cost:49 ms
parse block 292692579,cost:61 ms
parse block 292692578,cost:25 ms
parse block 292692577,cost:33 ms
parse block 292692576,cost:61 ms
parse block 292692575,cost:49 ms
parse block 292692574,cost:36 ms
parse block 292692573,cost:24 ms
parse block 292692572,cost:76 ms
parse block 292692571,cost:39 ms
parse block 292692570,cost:35 ms
parse block 292692569,cost:40 ms
parse block 292692568,cost:27 ms
parse block 292692567,cost:38 ms
parse block 292692566,cost:44 ms
parse block 292692565,cost:30 ms
parse block 292692564,cost:32 ms
parse block 292692563,cost:57 ms
parse block 292692562,cost:13 ms
parse block 292692561,cost:51 ms
parse block 292692560,cost:23 ms
parse block 292692559,cost:43 ms
parse block 292692558,cost:35 ms
parse block 292692557,cost:40 ms
parse block 292692556,cost:60 ms
parse block 292692555,cost:26 ms
parse block 292692554,cost:39 ms
parse block 292692553,cost:31 ms
parse block 292692552,cost:23 ms
parse block 292692551,cost:34 ms
parse block 292692550,cost:33 ms
parse block 292692549,cost:47 ms
parse block 292692548,cost:49 ms
parse block 292692547,cost:46 ms
parse block 292692546,cost:33 ms
parse block 292692545,cost:70 ms
parse block 292692544,cost:30 ms
parse block 292692543,cost:25 ms
parse block 292692542,cost:23 ms
parse block 292692541,cost:29 ms
parse block 292692540,cost:41 ms
parse block 292692539,cost:26 ms
parse block 292692538,cost:47 ms
parse block 292692537,cost:19 ms
parse block 292692536,cost:10 ms
parse block 292692535,cost:50 ms
parse block 292692534,cost:32 ms
parse block 292692533,cost:33 ms
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 3mJ1c9Vvy2vRyyqgd7EKDPEnXYnidVrx2xgugS9VFSpXySVFYTuACEBrY5rk3GVmFmS2ziPFUumt1Wehb55Rcitz
Invalid tokenAmount: 0, skipping transaction 4Cs7M7h77j1itUhPZPsRBkHkiwNQsRztMS8dWLGumxGWsskr1AmXBjK6Qj2yTnmAGpkKeB5r7jZrpaQvYNc6rR1N
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 3ASWqnJo22J56rL9AjKEXNk7JzuGRrut5kdkhwsseG3dmA9BktjYhWMxcnhjfTiSVhfsUx1cG2yeutBHxDptwNeq
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 2R8bQqJe8T9QWBVjF8jKB5W6viM7TBpMEifoVz33aVs4UWZkRa8hSNhSCbuCNwfukfJKSg6r4T1c9hKSEh5Ycxbj
Invalid quoteAddress: undefined, skipping transaction bJxzMWWUHHv7msPvhEF5cri356HbLu3SLpfDbTWoYWJ4UXMFrFqVVBFvfeeWCFQoovy7fc76edvNgQLgUdocxF4
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 3p42uXbnumX6U7kojR7CfXovuAt3gT6923UhvjRzAXgMnJTRJmHJtgWJX9xMf3rL7wAHFXQnXPWx3r8ceCNvvhe9
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 4xhd2TNETkoRjDtYUMGnj7kwSjJKzeDSVARXanC7TcbcNfaCq3etTb1qDADiWShz3rVpXwvC2Z6DT34CuE1TBJYj
Invalid tokenAmount: 0, skipping transaction 29FUQmDY92pCD94h8dTatYg97En2pS9bVyvpW4JuabCBAETVJUxKqr2Tg6yMt6vHqJRa4MpjKM9JJ85736ZLPzcv
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 5i71yEa2JLGikxe94uP6CboqkLhvUQyQbLPtoymenUcftLG9LYJEb2ajkJdBHoQzvppGudFLbYjEHU4sgsmvBQQr
quoteSymbol not support J4kisnm6yA9gHXhyCmmoFEV8C4eTnHDKBC4Tcd6upump, skipping transaction 6Dzmi7odzGFNzssMQYFG42xWqBJ5UAuoAAycXyvVXTZuisw3AnpGxVVEUxKQo3wHFDVjp7XzQNDGJhikZ8PmDKc
Invalid tokenAmount: 0, skipping transaction 8Lv4uw8XV7ZW3JY9Rtn7Dkp7JzXW2zTRQxinMmBe8119HNNqdW3sFeiXNptk7XpMCRcpz2joR9S49XyiHswNWaJ
